우리가 만들어 놓은 문장에 대해 평가해보고, 어떤걸 좋다고 생각하는지 파악해서 이를 프레임워크에 반영하는 작업을 해보자				
				
		쓸지 말지 판단		
		문장 다듬기(-요?)		
	56	자리가 사람을 만든다고 생각하나요?	자리가 사람을 만든다는 말에 동의하나요?	
	57	나에게 실패란	나에게 실패란 어떤 의미인가요?	
	58	실패를 딛고 있어난적이 있나요?		
	59	내 인생의 최대 실패 경험을 알려주세요.	내가 겪은 가장 커다란 실패에 대해 이야기해주세요	
	60	실패가 오히려 도움이 된 적이 있나요?	실패가 오히려 도움이 된 경험이 있나요?	
	61	평생 딱한가지의 음식을 먹어야한다면?	남은 평생동안 단 한 가지의 음식만 먹어야 한다면 어떤 음식을 선택할 건가요?	
	62	내가 가진 것 중 딱 한가지만 바꿀 수 있다면?	나에 대해 딱 한 가지만 바꿀 수 있다면 어떤 것을 바꾸고 싶나요?	
	63	과거의 일 중 딱 한가지 사실을 알 수 있다면?	이해되지 않았던 과거의 일 중 가장 설명이 듣고 싶은 한 가지가 있다면 무엇인가요?	
	64	미래의 일 중 딱 한가지 사실을 알 수 있다면?	미래에 일어날 일 중 딱 한 가지를 알 수 있다면 어떤 것이 궁금한가요?	
	65	내가 세상에서 가장 무서워하는 딱한가지는?	내가 세상에서 가장 무서워하는 한 가지는 무엇인가요?	
	66	과거의 나에게 딱 한마디만 해줄 수 있다면?	과거의 나에게 한 마디 해줄 수 있다면, 언제의 나에게 어떤 말을 해주고 싶은가요?	
	67	공짜가 무섭다고 느낀적이 있나요?	수업료를 가장 비싸게 치른 내 인생의 교훈이 있다면 알려주세요.	
	68	지금 카페에서 대화를 나누고 싶은 누군가가 있다면?	한가한 주말, 카페에서 편안하게 대화를 나누고 싶은 상대는 누구인가요?	
	69	당신이 생각하는 진짜 부자는?	진짜 부자는 어떤 사람일까요?	
	70	당신이 진짜 부자가 되었을때 무엇을 하고 싶나요?	엄청난 부자가 된다면 무엇을 해보고 싶나요?	
	71	내가 가장 힘들때 찾아가는 사람은?	힘든 순간에 떠오르는 사람은 누구인가요?	
	72	나를 위한 힐링푸드가 있다면?	나만의 힐링푸드는 무엇인가요?	
	73	세상은 점점 나아지고 있나요?	세상이 점점 나아지고 있다고 생각하나요?	
	74	내가 가장 싫어하는 사람에게 한가지 선물을 줄 수 있다면?		
	75	나는 도움을 주는 편 vs 도움을 받는 편?		
	76	내가 가장 좋아하는 사람에게 한가지 선물을 줄 수 있다면?	가장 좋아하는 사람에게 주고싶은 선물은 무엇인가요?	
	77	얼마이상부터 뇌물이라 볼 수 있을까요?		
	78	내가 받아본 선물중 가장 설렜던 선물은?	지금까지도 기억에 남는 선물이 있나요?	
	79	200만원짜리 전자기기 vs 200만원짜리 보석	1000만원이 주어진다면 어떻게 쓰고 싶은가요?	
	80	내 인생의 선물	내 인생 최고의 선물은 무엇인가요?	
	81	이 세상에 없는데 내 머릿속에만 존재하는 것이 있나요?		
	82	세상에 아직 없는, 나만의 기가 막힌 아이디어가 있나요?	세상에 있었으면 좋겠는, 나만의 참신한 아이디어가 있나요?	
	83	없는 게 낫겠다 싶은 것이 있나요?	스스로도 왜 샀는 지 이해되지 않는 실패한 아이템이 있나요?	
	84	내가 가진 것 중 없애고 싶은 것이 있나요?		
	85	눈이 없다면 어떻게 될까요?	내가 가진 감각 중에 가장 소중한 것은 어떤 것인가요?	
	86	1시간 후 볼 수 없다면 마지막으로 보고 싶은 것은?	1시간 뒤에 아무것도 볼 수 없는 세상이 된다면, 마지막으로 눈에 담고 싶은 것은 무엇인가요?	
	87	미니멀리스트 vs 맥시멀리스트	미니멀리스트와 맥시멀리스트, 나는 어느 쪽인가요?	
	88	운 없이 성공할 수 있을까?	운 없이도 성공할 수 있을까요?	
	89	내가 운이 안좋다고 생각하나요?	나는 운이 좋은 편인가요?	
	90	나에게 특별히 있는 운이 있다면?	사소하지만 나에게만 특별히 있는 것 같은 운이 있나요?	
	91	지금 나에게 필요한 운	지금 나에게는 어떤 운이 필요한가요?	
	92	지금 당장 행운을 빌어주고 싶은 사람이 있나요		
	93	행운의 여신을 만나면 뭐라고 말하고 싶나요		
	94	내가 주로 하는 척은?	유퀴즈st	
	95	내가 회사에서/일할 때 가장 많이 하는 척은?	내가 일할 때 가장 많이 하는 척이 있나요?	
	96	내가 절대 못참는 척이 있다면?		
	97	내 인생의 프롤로그를 써본다면?	내 자서전의 프롤로그는 어떤 문장으로 시작할까요?	
	98	내 인생의 에필로그를 미리 써본다면?	내 자서전의 에필로그는 어떤 문장으로 끝날까요?	
	99	내가 가장 후회하는 일이 만약 잘 풀렸다면?	과거에서 단 한 가지 사건을 바꿀 수 있다면 어떤 걸 바꾸고 싶은가요?	
	100	시작이 중요하다 vs 끝이 중요하다	시작과 끝, 어떤 것이 더 중요할까요?	
	101	용의 꼬리 vs 뱀의 머리	용의 꼬리와 뱀의 머리, 어떤 게 나을까요?	
	102	지금 내 인생은 몇% 완성됐나요?	내 인생의 목표는 몇 퍼센트 달성되었나요?	
	103	시작하게 되서 좋은 것	시작하길 잘했다고 생각한 일이 있나요?	
	104	다시 시작하고 싶은 일	잠시 멈췄지만, 다시 시작해보고 싶은 일이 있나요?	
	105	가장 기억에 남는 마무리?끝?엔딩?	가장 기억에 남는 엔딩이 있나요?	
	106	가장 인상적인 작품 도입부	내 가슴을 두근거리게 만든 도입부가 있나요?	
	107	이 세상이 끝나면 무엇이 있을까?		
	108	처음 받은 용돈	처음 받은 용돈으로 어떤 것을 샀는 지 기억하나요?	
	109	내가 용돈으로 산 것 중 기억에 남는 것은	처음 스스로 번 돈, 어떻게 썼나요?	
	110	누가 나에게 한 달에 한 번 용돈을 준다면 얼마를 받고 싶나요?		
	111	용돈을 드려본 적 있나요?		
	112	언제부터 부모님께 용돈을 드려야 할까요?	언제부터 부모님께 용돈을 드려야 할까요?	
	113	내가 국가대표라면 어떤 종목의 국가대표가 되고 싶나요?	나는 국가대표 ㅇㅇㅇ	
	114	내가 운동을 시작하지 못하는 이유	내가 운동을 시작하지 못하게 만드는 이유를 모두 알려주세요.	
	115	내 인생의 스포츠 스타	내 인생의 스포츠 스타는 누구인가요?	
	116	스포츠 관람 경험	처음으로 스포츠 경기를 제대로 관람해본 경험이 있다면 알려주세요	
	117	마음에도 운동이 필요할까요?	마음을 단련하기 위해 할 수 있는 일은 무엇이 있을까요?	
	118	자신감과 잘난척의 차이는?	자신감과 자만심의 차이는 무엇일까요?	
	119	과거의 나에게 칭찬해주고 싶은 일이 있나요?	내가 가장 듣고 싶은 칭찬은 무엇인가요?	
	120	나를 다섯 글자로 칭찬해주세요	요즘의 나를 다섯 글자로 칭찬해주세요	
	121	좋은 칭찬이란?	좋은 칭찬은 어떻게 할 수 있을까요?	
	122	신이 이 세상을 보면 뭐라고 칭찬할 수 있을까요?		
	123	세상엔 좋은 사람이 많을까요 나쁜 사람이 많을까요?	세상에는 좋은 사람이 많을까요, 나쁜 사람이 많을까요?	
	124	나는 좋은 사람인가요?	나는 좋은 사람인가요?	
	125	나를 사랑하기 위해 할 수 있는 일은 무엇이 있을까요?	나를 더 사랑해주기 위해 지금 할 수 있는 일은 무엇이 있을까요?	
	126	내 인생에 점수를 매긴다면		
	127	나를 사랑해주는 사람의 특징은 무엇인가요?	나와 친한 사람들의 공통점이 있나요?	
	128	남들이 모르는 나만의 매력 포인트가 있다면?	남들이 몰라주는 나의 매력이 있나요?	
	129	나의 자랑거리	나의 자랑거리가 있다면 알려주세요.	
	130	내가 해본 가장 심한 욕	내가 가장 심하게 욕해본 사람이 있나요?	
